,year,team,league,total_transfers_in,total_transfer_out,total_spend,total_earned,average_fee_spend,average_fee_earned,max_fee_spend,min_fee_spend,avg_season_spi,most_purchased_position,position_max_spend,position_min_spend,avg_spend_striker,avg_spend_centre_back,avg_spend_centre_mid,avg_spend_goalkeeper,avg_spend_left_winger,avg_spend_right_winger,avg_spend_def_midfield,avg_spend_left_back,avg_spend_right_back,avg_spend_att_midfield
0,2016,1.FSV Mainz 05,German Bundesliga,16,16,26.284,23.135,1.64275,1.4459375,5.85,11.25,68.03,Striker,Attacking Midfield,Central Midfield,2.025,0.45,1.93,2.25,1.35,2.1,2.25,0.054,0.0,0.0
1,2016,AC Milan,Italian Serie A,12,29,26.599999999999994,22.64,2.2166666666666663,0.7806896551724138,8.6,11.7,67.48,Striker,Left Winger,Centre-Back,4.275,8.6,3.825,0.0,0.63,0.45,0.0,0.0,0.0,0.72
2,2016,ACF Fiorentina,Italian Serie A,16,43,14.157,27.950000000000003,0.8848125,0.65,3.15,20.7,68.67999999999999,Goalkeeper,Left-Back,Central Midfield,0.0,1.3499999999999999,0.45,0.8490000000000001,0.225,0.0,0.0,0.45,2.61,1.5750000000000002
3,2016,AFC Bournemouth,English Premier League,20,29,36.626,21.321,1.8313,0.7352068965517242,16.2,10.8,60.88000000000001,Central Midfield,Right Winger,Centre-Back,1.4625,0.5175,1.684,0.846,0.0,4.05,0.0,1.62,0.0,0.0
4,2016,AS Monaco,French Ligue 1,24,29,45.45,16.605,1.89375,0.5725862068965517,13.5,7.2,78.38000000000001,Attacking Midfield,Right-Back,Central Midfield,0.0,3.3000000000000003,2.7,0.0,0.0,0.0,0.0,6.45,13.5,0.0
5,2016,AS Nancy-Lorraine,French Ligue 1,14,9,2.0700000000000003,9.81,0.14785714285714288,1.09,1.35,4.86,47.96000000000001,Striker,Centre-Back,Striker,0.0,0.27,0.0,0.15,0.0,0.0,0.675,0.0,0.0,0.0
6,2016,AS Roma,Italian Serie A,19,59,92.33999999999999,67.889,4.859999999999999,1.1506610169491525,16.74,28.8,78.48999999999998,Centre-Back,Defensive Midfield,Right Winger,6.075,2.475,8.37,7.2,9.899999999999999,7.875,0.0,1.6500000000000001,0.9,0.0
7,2016,AS Saint-Étienne,French Ligue 1,15,15,6.300000000000001,2.0250000000000004,0.42000000000000004,0.13500000000000004,3.6,0.9,63.65000000000001,Left Winger,Central Midfield,Left Winger,0.0,1.35,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2016,Arsenal FC,English Premier League,13,12,101.736,9.32,7.825846153846154,0.7766666666666667,40.5,4.5,81.98,Centre-Back,Defensive Midfield,Striker,9.0,13.200000000000001,0.0,0.0,3.6,0.0,20.25,0.036,0.0,0.0
9,2016,Atalanta BC,Italian Serie A,18,71,12.906000000000002,37.197,0.7170000000000001,0.5239014084507042,6.03,17.1,65.66999999999999,Goalkeeper,Centre-Back,Central Midfield,3.015,0.2925,0.18,0.3825,1.125,0.63,0.0,0.0,0.468,0.0
