,year,team,league,total_transfers_in,total_transfer_out,total_spend,total_earned,average_fee_spend,average_fee_earned,max_fee_spend,min_fee_spend,avg_season_spi,most_purchased_position,position_max_spend,position_min_spend,avg_spend_striker,avg_spend_centre_back,avg_spend_centre_mid,avg_spend_goalkeeper,avg_spend_left_winger,avg_spend_right_winger,avg_spend_def_midfield,avg_spend_left_back,avg_spend_right_back,avg_spend_att_midfield
0,2016,1.FSV Mainz 05,German Bundesliga,10,5,26.284,23.135,2.6284,4.627000000000001,5.85,11.25,68.02999999999999,Striker,Attacking Midfield,Left-Back,4.05,0.45,1.93,2.25,2.7,3.15,4.5,0.054,0.0,0.0
1,2016,AC Milan,Italian Serie A,7,7,26.599999999999994,22.640000000000004,3.7999999999999994,3.234285714285715,8.6,11.7,67.48,Central Midfield,Left Winger,Centre-Back,8.55,8.6,3.825,0.0,0.63,0.45,0.0,0.0,0.0,0.72
2,2016,ACF Fiorentina,Italian Serie A,10,10,14.156999999999998,27.950000000000003,1.4156999999999997,2.7950000000000004,3.15,20.7,68.68000000000002,Centre-Back,Left-Back,Centre-Back,0.0,2.025,0.45,1.2735,0.45,0.0,0.0,0.9,2.61,1.5750000000000002
3,2016,AFC Bournemouth,English Premier League,7,6,36.626,21.320999999999998,5.232285714285714,3.5534999999999997,16.2,10.8,60.88,Central Midfield,Right Winger,Central Midfield,5.85,2.07,4.21,0.846,0.0,16.2,0.0,3.24,0.0,0.0
4,2016,AS Monaco,French Ligue 1,5,6,45.45,16.605,9.09,2.7675,13.5,7.2,78.38,Left-Back,Right-Back,Left-Back,0.0,9.9,2.7,0.0,0.0,0.0,0.0,9.675,13.5,0.0
5,2016,AS Nancy-Lorraine,French Ligue 1,3,3,2.0700000000000003,9.81,0.6900000000000001,3.27,1.35,4.86,47.96,Goalkeeper,Centre-Back,Centre-Back,0.0,0.27,0.0,0.45,0.0,0.0,1.35,0.0,0.0,0.0
6,2016,AS Roma,Italian Serie A,16,14,92.34,67.88900000000001,5.77125,4.849214285714287,16.74,28.8,78.48999999999997,Centre-Back,Defensive Midfield,Striker,6.075,2.9699999999999998,16.74,7.2,9.899999999999999,7.875,0.0,2.475,0.9,0.0
7,2016,AS Saint-Étienne,French Ligue 1,2,3,6.300000000000001,2.0250000000000004,3.1500000000000004,0.6750000000000002,3.6,0.9,63.65,Central Midfield,Central Midfield,Centre-Back,0.0,2.7,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2016,Arsenal FC,English Premier League,6,3,101.736,9.32,16.956,3.106666666666667,40.5,4.5,81.98,Centre-Back,Defensive Midfield,Left-Back,18.0,19.8,0.0,0.0,3.6,0.0,40.5,0.036,0.0,0.0
9,2016,Atalanta BC,Italian Serie A,9,7,12.906,37.196999999999996,1.4340000000000002,5.313857142857143,6.03,17.1,65.67,Centre-Back,Centre-Back,Centre-Back,6.03,0.585,0.36,0.765,2.25,0.63,0.0,0.0,0.936,0.0
10,2016,Atlético Madrid,Spanish La Liga,5,6,71.1,39.33,14.219999999999999,6.555,27.0,16.2,88.13,Right-Back,Striker,Goalkeeper,27.0,0.0,0.0,0.72,6.48,0.0,0.0,0.0,14.4,22.5
11,2016,Bayer 04 Leverkusen,German Bundesliga,7,7,54.09,21.329999999999995,7.727142857142858,3.0471428571428563,18.9,13.5,77.29999999999998,Defensive Midfield,Centre-Back,Right-Back,18.0,18.9,0.0,0.45,12.15,0.0,2.0700000000000003,0.0,0.45,0.0
